area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Gangni,2 BHK,Saacela,1190,2,1,40
Super built-up  Area,Ready To Move,Kulaura,3 BHK,MaidoPl,1550,2,3,53.33333333
Super built-up  Area,21-May,Agailjhara,2 BHK,GolusLi,1283,2,2,42.14666667
Built-up  Area,Ready To Move,Harinakunda,2 BHK,GMilse ,1325,2,2,48.66666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,SMuilan,1105,2,1,23.57333333
Super built-up  Area,Ready To Move,Hossainpur,3 BHK,Srldsri,1600,3,2,49.66666667
Plot  Area,Ready To Move,Devara Jeevanahalli,4 Bedroom,,400,2,2,23.33333333
Super built-up  Area,18-Apr,Agailjhara,2 BHK,PrarePa,700 - 900,,,27.43
Super built-up  Area,Ready To Move,Bawphal,2 BHK,,1100,2,1,29.7
Super built-up  Area,21-Dec,Burichang,3 BHK,Sodgere,2099,3,3,98
Super built-up  Area,Ready To Move,Gajaria,3 BHK,BaiseBa,1365,2,1,48
Super built-up  Area,Ready To Move,Chouddagram,2 BHK,Goateds,1485,3,3,88
Super built-up  Area,Ready To Move,Bhola Sadar,2 BHK,Kelmsoy,1250,2,1,36.66666667
Super built-up  Area,Ready To Move,Cumilla Sadar(South),3 BHK,,1290,2,2,37.41333333
Super built-up  Area,Ready To Move,Babuganj,2 BHK,,1170,2,1,31.19333333
Super built-up  Area,19-Jul,Agailjhara,2 BHK,Soazak ,1328,2,3,60.70666667
Super built-up  Area,19-Mar,Ashasuni,2 BHK,Puachal,1232,2,1,58
Super built-up  Area,Ready To Move,Doarabazar,2 BHK,,1180,2,2,59
Super built-up  Area,Ready To Move,Aditmari,3 BHK,Palleon,1350,3,2,44
Super built-up  Area,18-May,Nagawara Junction,4 BHK,,3602,4,,186.6666667
Super built-up  Area,Ready To Move,Khaliajuri,4 BHK,,2400,4,1,96.66666667
Super built-up  Area,Ready To Move,Atrai,2 BHK,Prvanai,1020,2,2,21.33333333
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,Dhalsh ,1410,2,3,32.89333333
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,PrBayGa,2159,3,2,80
Plot  Area,Immediate Possession,Chirirbandar,,Vaensnd,1453,,,11
Super built-up  Area,18-Apr,Barishal Sadar,3 BHK,,1200,2,0,44
Super built-up  Area,Ready To Move,Bawphal,2 BHK,Shateor,1255,2,1,38.33333333
Super built-up  Area,18-Sep,Abhaynagar,2 BHK,ARipsul,1074,2,1,28.52666667
Plot  Area,18-Nov,Suragajakkanahalli,3 Bedroom,PrhyaK ,1200,3,2,48
Super built-up  Area,18-Apr,Bagher Para,3 BHK,SNityVe,1170,2,2,23.60666667
Super built-up  Area,21-Jun,Chowhali,1 BHK,Coowsri,596 - 861,1,0,20.87666667
Super built-up  Area,Ready To Move,Chitalmari,3 BHK,PindsWo,1660,2,,66.66666667
Plot  Area,Ready To Move,Gattigere,5 Bedroom,,900,6,1,63.33333333
Built-up  Area,Ready To Move,Sk Garden,6 Bedroom,,1850,3,0,116.6666667
Built-up  Area,Ready To Move,Gowdanapalya,1 Bedroom,,510,1,0,22.66666667
Super built-up  Area,Ready To Move,Cox'S Bazar Sadar,3 BHK,Neony H,1601,3,2,63.33333333
Super built-up  Area,18-Mar,Baghaichari,2 BHK,,952,2,1,28
Super built-up  Area,Ready To Move,Pns Layout,2 BHK,,1166,2,3,43.33333333
Built-up  Area,Ready To Move,Venkatapura,3 BHK,ThBayah,2700,2,1,173.3333333
Built-up  Area,Ready To Move,Atrai,4 Bedroom,Rie 2 P,1900,3,1,64.66666667
Plot  Area,Ready To Move,Mathikere,3 Bedroom,,1350,2,0,116.6666667
Super built-up  Area,18-Aug,Atpara,3 BHK,SNnia E,1520,2,2,64
Plot  Area,Ready To Move,Harsha Layout,4 Bedroom,,2100,6,3,66.66666667
Super built-up  Area,Ready To Move,Kalapara,2 BHK,,1175,2,2,33.33333333
Super built-up  Area,Ready To Move,Kendua,2 BHK,ReudePr,1432,2,2,45.33333333
Super built-up  Area,18-Jun,Dhanbari,2 BHK,,1005,2,1,26.51333333
Super built-up  Area,Ready To Move,Nikli,2 BHK,,1309,2,1,53.33333333
Super built-up  Area,Ready To Move,Dairy Circle,3 BHK,Soeurri,2251,4,2,246.6666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Brnia G,1050,2,1,51.33333333
Super built-up  Area,21-Dec,Agailjhara,3 BHK,PrarePa,1100,3,2,35.33333333
Plot  Area,Ready To Move,Gaibandha Sadar,3 Bedroom,,2400,3,3,206.6666667
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,Dhalsh ,1565,2,2,37.56
Built-up  Area,Ready To Move,1St Stage Indira Nagar,2 BHK,,940,2,1,37.33333333
Super built-up  Area,18-Jun,Yarandahalli,2 BHK,,1015,2,1,26.73333333
Plot  Area,Ready To Move,Damurhuda,3 Bedroom,,2400,2,0,240
Super built-up  Area,Ready To Move,Aditmari,3 BHK,SJityVe,1652,3,3,73.33333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,,1100,2,2,34.66666667
Super built-up  Area,Ready To Move,Nikli,4 BHK,PuoodSk,2340,4,1,96.66666667
Super built-up  Area,21-Jul,Bamna,2 BHK,G ceses,1084,2,1,119.3333333
Plot  Area,Ready To Move,Goshairhat,2 Bedroom,,1200,1,1,54
Super built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,JPoldGo,1400,3,3,46
Plot  Area,16-Mar,Galachipa,4 Bedroom,,2400,5,0,213.3333333
Super built-up  Area,18-Jul,Atrai,2 BHK,Sryalan,1020,2,1,18.28666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,PritaDo,1267,2,1,60.22
Super built-up  Area,Ready To Move,Bhanga,4 BHK,Pride S,2439,4,3,123.3333333
Built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1645,3,,63.33333333
Super built-up  Area,Ready To Move,Chandina,3 BHK,,1100,2,2,50
Built-up  Area,18-Dec,Aditmari,3 BHK,,1320,2,1,25.41333333
Super built-up  Area,18-Apr,Daganbhuiyan,2 BHK,,1000,2,1,19.8
Built-up  Area,Ready To Move,Abhaynagar,4 Bedroom,Chllea ,5000,5,2,366.6666667
Built-up  Area,Ready To Move,Badalgachi,6 Bedroom,,2500,6,3,38.66666667
Plot  Area,Ready To Move,Chagalnaiya,2 Bedroom,,2480,2,1,106.6666667
Built-up  Area,Ready To Move,Gangni,2 BHK,JRaderc,1086,2,2,29.66666667
Super built-up  Area,18-Nov,Balaganj,1 BHK,VBn 2lm,416,1,1,12
Built-up  Area,Ready To Move,Ashasuni,2 BHK,Koagati,1066,2,1,34.82
Super built-up  Area,Ready To Move,Gazipur Sadar,3 BHK,Inntsa ,1730,3,1,62
Super built-up  Area,20-Jan,Bhurungamari,2 BHK,Soresea,1205,2,1,42.57333333
Super built-up  Area,Ready To Move,Amtali,4 BHK,Prionad,2500,5,2,116.6666667
Super built-up  Area,Ready To Move,Birampur,2 BHK,DStik S,960,2,1,36.66666667
Super built-up  Area,18-Jul,Atpara,3 BHK,SNnia E,1510,3,2,55.36666667
Built-up  Area,Ready To Move,Kanaka Nagar,4 Bedroom,,1600,4,2,60
Built-up  Area,Ready To Move,Bandar,3 Bedroom,GRlas V,2300,3,2,94.66666667
Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,,1000,2,1,42
Super built-up  Area,Ready To Move,Gangachara,2 BHK,,1160,2,1,30.92666667
Super built-up  Area,19-Sep,Bakshiganj,3 BHK,,1553,2,2,38.82
Super built-up  Area,Ready To Move,Charghat,4 BHK,Asuilnc,3436,5,,230
Super built-up  Area,18-Aug,Dimla,2 BHK,,1134,2,2,30
Plot  Area,Ready To Move,Khaliajuri,4 Bedroom,,600,4,2,53.33333333
Plot  Area,Ready To Move,Boalkhali,5 Bedroom,,2400,3,3,53.33333333
Plot  Area,18-Nov,Abhaynagar,4 Bedroom,,2400,4,1,95.33333333
Super built-up  Area,Ready To Move,Nagashetty Halli,2 BHK,,1350,2,2,43.33333333
Super built-up  Area,Ready To Move,Bagher Para,2 BHK,,1032,2,1,28
Super built-up  Area,Ready To Move,Tigalarpalya,3 BHK,Spess C,1998,3,2,78
Super built-up  Area,18-Aug,Joypurhat Sadar,2 BHK,,1225,2,2,32
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,Contsci,1262,2,2,44.66666667
Super built-up  Area,20-Jan,Khetlal,3 BHK,DNncasa,1842,3,2,76.66666667
Super built-up  Area,Ready To Move,Thomas Town,2 BHK,TuiteIn,1300,2,,40
Super built-up  Area,18-Jun,Dhunat,2 BHK,,1070,2,2,25.73333333
Built-up  Area,21-Dec,"Electronic City Phase 1, ",2 BHK,,950,2,1,22
Super built-up  Area,18-Mar,Bhurungamari,2 BHK,Soresea,1012,2,1,35.72
Built-up  Area,Ready To Move,Barishal Sadar,2 Bedroom,,1000,2,0,46.66666667
Super built-up  Area,Ready To Move,Bochaganj,2 BHK,KMnorab,1394,2,2,37.33333333
Super built-up  Area,Ready To Move,Durgapur,3 BHK,Prentra,1450,2,1,56.66666667
Super built-up  Area,Ready To Move, Banaswadi,1 RK,Krntsee,527,1,0,23.33333333
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Adeatlm,1693,3,2,83.33333333
Super built-up  Area,Ready To Move,Barhatta,4 BHK,Prtanha,3122,6,2,156.6666667
Super built-up  Area,Ready To Move,Boalkhali,2 BHK,DSireSo,1000,2,1,30.66666667
Built-up  Area,Ready To Move,Dinajpur Sadar,2 BHK,,952,2,2,32.66666667
Super built-up  Area,Ready To Move,Barkal,3 BHK,Maens G,2050,4,,180
Super built-up  Area,Ready To Move,Balaganj,1 BHK,,1200,1,1,9.333333333
Super built-up  Area,19-Apr,Bhairab,3 BHK,Brama P,1410,2,2,42.66666667
Super built-up  Area,Ready To Move,Chouddagram,2 BHK,Goateds,1400,2,2,72
Plot  Area,Ready To Move,Gournadi,4 Bedroom,Theanmp,3056,5,,66.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Saitya ,1826,3,2,83.33333333
Super built-up  Area,18-Jun,Bhola Sadar,3 BHK,PuendWe,1689,3,2,68.66666667
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1075,2,1,20.66666667
Super built-up  Area,Ready To Move,Araihazar,5 BHK,,2500,4,,933.3333333
Super built-up  Area,Ready To Move,Bawphal,2 BHK,,960,2,1,32
Built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,,808,2,1,26.66666667
Super built-up  Area,Ready To Move,Dewanganj,2 BHK,,907,2,2,25.66666667
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,AkncyRe,1300,2,2,36.66666667
Super built-up  Area,Ready To Move,Sector 1 Hsr Layout,3 BHK,SodilDa,1804,3,2,100
Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,,1350,3,2,54
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Priew P,1836,3,2,83.33333333
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,Pry 2 R,826,2,2,24
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,Undraro,1200,2,3,45.33333333
Super built-up  Area,18-Dec,1St Block Koramangala,4 BHK,,3000,3,3,200
Plot  Area,Ready To Move,Bijoynagar,4 Bedroom,,2400,4,2,270
Super built-up  Area,Ready To Move,Faridpur,2 BHK,JClyner,1460,2,,53.33333333
Plot  Area,Ready To Move,Fenchuganj,4 Bedroom,Dhistee,1200,4,3,93.33333333
Super built-up  Area,Ready To Move,Damurhuda,2 BHK,Vincyat,965,2,2,37.33333333
Carpet  Area,Ready To Move,Dhunat,4 Bedroom,,2000,4,2,63.33333333
Super built-up  Area,Ready To Move,Bhanga,3 BHK,Amconi ,1395,2,2,46.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,DSndsod,1660,3,2,77.33333333
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,,935,2,2,23.33333333
Super built-up  Area,Ready To Move,Hongasandra,2 BHK,Srrtsu ,1180,2,1,26
Built-up  Area,18-Dec,Aditmari,2 BHK,,1090,2,1,20.98666667
Super built-up  Area,19-Jan,Agailjhara,2 BHK,PrityFa,1204,2,1,54.66666667
Super built-up  Area,Ready To Move,Barhatta,3 BHK,Prtanha,2072,4,2,102
Built-up  Area,Ready To Move,Atpara,2 BHK,Zostaa ,1056,2,1,43.33333333
Super built-up  Area,18-Dec,Alikadam,2 BHK,Magiaya,985,2,2,41.33333333
Super built-up  Area,Ready To Move,Titas,3 BHK,,1315,2,2,32.66666667
Built-up  Area,Ready To Move,Badalgachi,2 BHK,,734,2,1,14.66666667
Built-up  Area,Ready To Move,Goshairhat,4 Bedroom,,2900,4,2,133.3333333
Super built-up  Area,Ready To Move,Laxmichhari,3 BHK,Niareum,2317,4,3,93.33333333
Built-up  Area,Ready To Move,Derai,1 Bedroom,,600,1,0,30
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,,2200,3,0,76.66666667
Super built-up  Area,Ready To Move,Bogura Sadar,2 BHK,Jae 2hu,656,2,1,16.66666667
Built-up  Area,Ready To Move,Bogura Sadar,1 BHK,Jae 2hu,400,1,1,7.666666667
Super built-up  Area,Ready To Move,Bagha,1 BHK,IBityin,666,1,1,24.53333333
Plot  Area,Ready To Move,Kalma Kanda,4 Bedroom,,3293,5,2,283.3333333
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Shncyes,1174,2,1,31.33333333
Super built-up  Area,Ready To Move,Beanibazar,2 BHK,PrityTr,1153,2,2,37.8
Plot  Area,Ready To Move,Belkuchi,4 Bedroom,,1000,4,1,60
Built-up  Area,Ready To Move,Khoksa,5 BHK,,2400,5,2,56.66666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,,957,2,1,31.33333333
Built-up  Area,Ready To Move,Dhamrai,2 BHK,Say 3 R,910,2,2,106.6666667
Built-up  Area,17-Dec,Adarsha Sadar,2 BHK,,1060,2,1,33.33333333
Super built-up  Area,18-Jul,Bakerganj,2 BHK,,1000,2,1,33.33333333
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,PuandHi,1843,3,2,58.66666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,,1150,2,2,26.83333333
Super built-up  Area,18-Sep,Austagram,3 BHK,SunceEs,1230,2,2,20.91333333
Super built-up  Area,Ready To Move,Jaldhaka,4 BHK,Soianal,3197,5,2,223.3333333
Super built-up  Area,19-Jul,Agailjhara,3 BHK,Soazak ,1703,3,2,86.66666667
Super built-up  Area,Ready To Move,Fulchari,2 BHK,DencyRe,1125,2,1,27.66666667
Super built-up  Area,Ready To Move,Dohar,3 BHK,SraveHi,1516,3,3,43.33333333
Super built-up  Area,Ready To Move,Bheramara,2 BHK,Srluei ,1130,2,2,37.33333333
Super built-up  Area,Ready To Move,Doarabazar,4 BHK,Emine P,3596,5,1,186
Super built-up  Area,19-Jun,Banaripara,3 BHK,Sosisic,1512,3,2,68.66666667
Built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Bhmesy ,1491,3,1,58.66666667
Super built-up  Area,Ready To Move,Khagrachari Sadar,2 BHK,Eledst ,1250,2,2,63.33333333
Super built-up  Area,18-Aug,Bakerganj,3 BHK,,1650,3,2,60.5
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1140,2,1,32.46666667
Plot  Area,Ready To Move,Behind Don Bosco Church,4 Bedroom,,1200,4,1,73.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Rehtsna,1881,3,,63.33333333
Super built-up  Area,21-Dec,Agailjhara,3 BHK,PrarePa,1100,3,2,37.71333333
Super built-up  Area,Ready To Move,Doarabazar,3 BHK,Emine P,2666,4,1,133.3333333
Super built-up  Area,Ready To Move,Bagalur,2 BHK,,1500,2,1,33.33333333
Super built-up  Area,18-Dec,Seshadripuram,2 BHK,,1217,2,1,109.3333333
Built-up  Area,Ready To Move,Abhaynagar,2 BHK,,1197,2,1,33.33333333
Built-up  Area,Ready To Move,Bhel Layout,6 Bedroom,,2400,4,1,113.3333333
Built-up  Area,Ready To Move,Kaliganj,3 BHK,Mauner ,1345,3,2,40
Plot  Area,Ready To Move,Badalgachi,4 Bedroom,IJent A,1200,4,2,66.66666667
Super built-up  Area,Ready To Move,Araihazar,4 BHK,Anineu ,3230,5,0,110
Super built-up  Area,Ready To Move,Ishurdi,3 BHK,,1260,2,1,63.33333333
Built-up  Area,Ready To Move,Adarsha Sadar,4 Bedroom,VaMarll,2750,5,1,160
Plot  Area,Ready To Move,Biswanath,2 Bedroom,,1200,2,0,53.33333333
Built-up  Area,Ready To Move,Devara Jeevanahalli,3 Bedroom,,1650,3,0,34.66666667
Super built-up  Area,Ready To Move,1St Block Hbr Layout,1 BHK,,600,1,0,30
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,Shony S,1025,2,1,23.92
Super built-up  Area,18-Dec,Bagher Para,4 BHK,Kinuerg,1925 - 2680,,,53.72666667
Super built-up  Area,Ready To Move,Ashasuni,2 BHK,Koagati,973,2,1,37.33333333
Super built-up  Area,19-Dec,Thanisandra Main Road,4 BHK,,4110,4,2,393.3333333
Super built-up  Area,Ready To Move,Atwari,3 BHK,PhestOn,2533,3,3,283.3333333
Super built-up  Area,Ready To Move,Bhurungamari,2 BHK,Soresea,1007,2,1,50
Super built-up  Area,19-Mar,Banaripara,1 BHK,Skume R,615 - 985,1,0,26.66
Built-up  Area,18-Dec,Adarsha Sadar,3 Bedroom,,1830,3,1,79.33333333
Super built-up  Area,Ready To Move,Gurudaspur,2 BHK,,1077,2,1,33.33333333
Plot  Area,Ready To Move,Immadihalli,1 Bedroom,,672,1,1,18
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,,1280,3,0,58
Built-up  Area,Ready To Move,Bagatipara,2 BHK,,865,2,0,26.66666667
Super built-up  Area,Ready To Move,Chunarughat,2 BHK,ARomee ,1000,2,2,22
Super built-up  Area,Ready To Move,Birganj,2 BHK,Chhamku,1285,2,2,43.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,1 BHK,Pronyt ,662,1,1,19.33333333
Plot  Area,Ready To Move,Abhaynagar,5 Bedroom,PrOakSi,2297,5,2,179.3333333
Plot  Area,Ready To Move,Haimchar,5 Bedroom,,3750,6,3,196.6666667
Super built-up  Area,Ready To Move,Kalkere,3 BHK,Sothin ,1850,3,3,63.33333333
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,,1754,3,2,88
Plot  Area,Ready To Move,Hennur Bande,5 Bedroom,,1200,4,2,100
Plot  Area,Ready To Move,Doarabazar,5 Bedroom,,2200,7,2,233.3333333
Super built-up  Area,Ready To Move,Anugrah Layout,3 BHK,Saavena,1567,3,1,66.66666667
Super built-up  Area,Ready To Move,Fenchuganj,3 BHK,Thiced ,1695,3,3,33.33333333
Plot  Area,Ready To Move,Hosahalli Extension,2 Bedroom,,360,2,1,26.66666667
Super built-up  Area,Ready To Move,Babuganj,2 BHK,Srdids ,1150,2,1,46.29333333
Super built-up  Area,Ready To Move,Barguna Sadar,3 BHK,DLhtsnd,1690,3,2,56.66666667
Built-up  Area,18-Mar,1St Block Koramangala,3 BHK,,2350,3,2,140
Super built-up  Area,Ready To Move,Karnafuli,2 BHK,AjityIn,1057,2,1,43.33333333
Super built-up  Area,19-Dec,Alikadam,2 BHK,Raard B,1320,2,1,60.66666667
Super built-up  Area,18-Jul,Bhanga,4 BHK,Rosha I,2119,4,3,74
Super built-up  Area,Ready To Move,Bandepalya,2 BHK,Jaity H,1125,2,1,32
Super built-up  Area,18-Aug,Agailjhara,3 BHK,,2254,3,2,113.3333333
Super built-up  Area,20-Jan,Bhurungamari,1 BHK,Soresea,645,1,1,22.78666667
Super built-up  Area,Ready To Move,Bashail,2 BHK,,1050,2,2,34.72
Super built-up  Area,18-May,Bera,2 BHK,Saite G,1040,2,1,27.73333333
Super built-up  Area,18-Jun,Adarsha Sadar,3 BHK,PualeSk,1700,3,1,129.3333333
Super built-up  Area,Ready To Move,Jamalpur Sadar,3 BHK,,1760,3,,76.66666667
Super built-up  Area,19-Mar,Babuganj,3 BHK,NiCodCa,1138,3,2,85.33333333
Super built-up  Area,18-Apr,Adarsha Sadar,2 BHK,AsastDe,984,2,1,30.60666667
Built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1140,2,2,25.76666667
Super built-up  Area,19-Dec,Abhaynagar,3 BHK,Eznuee ,3596,3,1,133.3333333
Super built-up  Area,Ready To Move,Kalkere,3 BHK,,1365,3,2,36
Super built-up  Area,Ready To Move,Bethel Nagar,1 BHK,,560,1,0,12.66666667
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,Prlla C,1404,2,1,50
Super built-up  Area,Ready To Move,Babuganj,4 BHK,,1540,4,3,30
Built-up  Area,Ready To Move,Aditmari,3 BHK,KBityo ,1050,2,1,26
Plot  Area,Ready To Move,Lingarajapuram,4 Bedroom,,360,4,3,24.66666667
Super built-up  Area,Ready To Move,Bashail,3 BHK,Sovar S,1550,3,3,48.33333333
Super built-up  Area,Ready To Move,Laxmichhari,3 BHK,Niareum,1653,3,3,62
Super built-up  Area,Ready To Move,Hajiganj,2 BHK,Peide L,1194,2,2,31.33333333
Super built-up  Area,Ready To Move,Narayana Nagar 1St Block,3 BHK,Krite D,1471,2,3,50
Super built-up  Area,21-Dec,Agailjhara,2 BHK,,700,2,1,23.33333333
Built-up  Area,Ready To Move,Chandpur Sadar,2 BHK,Wharl P,812,2,1,25.5
Super built-up  Area,Ready To Move,Barura,3 BHK,GRhtsei,1504,2,2,55.33333333
Super built-up  Area,Ready To Move,Cox'S Bazar Sadar,3 BHK,,1450,3,2,50
Super built-up  Area,Ready To Move,Gobindaganj,2 BHK,VBownre,957,2,2,36.33333333
Carpet  Area,Ready To Move,Bogura Sadar,1 BHK,Jae 1hu,460,1,1,8.666666667
Plot  Area,Ready To Move,Poornaprajna Layout,2 Bedroom,,900,2,0,85.33333333
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Brnia G,1050,2,1,50
Super built-up  Area,Ready To Move,Beanibazar,3 BHK,PrityTr,1820,3,2,56.66666667
Super built-up  Area,19-Dec,Jamalganj,2 BHK,,1033,2,2,21.33333333
Plot  Area,Ready To Move,Damudya,2 Bedroom,,800,1,1,60
Plot  Area,Ready To Move,Kadabagere,1 Bedroom,,520,2,0,19.33333333
Super built-up  Area,Ready To Move,Gazipur Sadar,2 BHK,,1165,2,2,59
Super built-up  Area,Ready To Move,Bhangura,2 BHK,,1280,2,1,40.66666667
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,,1950,3,3,153.3333333
Plot  Area,Ready To Move,Btm 4Th Stage,1 Bedroom,,600,1,0,38.66666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,JRrnauv,1550,3,3,43.4
Super built-up  Area,Ready To Move,Jamalpur Sadar,2 BHK,PuonsSe,1392,2,1,86.66666667
Super built-up  Area,Ready To Move,Begumganj,3 BHK,DLhtsan,1221,3,3,50
Super built-up  Area,Ready To Move,Ams Layout,1 BHK,Choomu ,1000,1,1,12.66666667
Built-up  Area,Ready To Move,Kr Garden,2 BHK,,1300,2,2,40
Built-up  Area,Ready To Move,Fenchuganj,2 BHK,Corus C,1065,2,3,21
Built-up  Area,Ready To Move,Brahmanpara,3 BHK,KHatsFl,1209,2,3,43.33333333
Plot  Area,Ready To Move,Btm 1St Stage,1 Bedroom,,375,1,0,26.66666667
Plot  Area,Ready To Move,Dollars Colony,3 Bedroom,,7800,3,2,1333.333333
Super built-up  Area,19-Mar,Adarsha Sadar,3 BHK,PualeSk,1929,4,1,67.33333333
Built-up  Area,Ready To Move,Ashasuni,2 BHK,Soncy R,1255,2,1,56
Super built-up  Area,19-Dec,Belkuchi,2 BHK,DSata S,1035,2,1,20.7
Plot  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,,1200,5,2,180
Super built-up  Area,18-May,Bakerganj,3 BHK,Bregae ,1650,3,2,67.33333333
Built-up  Area,Ready To Move,Abhaynagar,3 BHK,Laave E,1275,2,3,43.33333333
Super built-up  Area,18-Aug,Aditmari,2 BHK,Prarkun,1128,2,1,43.72
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1140,2,2,25.7
Plot  Area,Ready To Move,Gazipur Sadar,4 Bedroom,,1200,4,2,133.3333333
Super built-up  Area,21-Nov,Ajmiriganj,2 BHK,Bhe 2ko,1183,2,2,39.04
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Rabow R,1155,2,1,26
Super built-up  Area,Ready To Move,Balaganj,3 BHK,,1245,2,2,29.04666667
Built-up  Area,Ready To Move,Barguna Sadar,2 BHK,,1000,2,1,25.33333333
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Brnia G,1040,2,1,50
Super built-up  Area,Ready To Move,Dupchanchia,4 BHK,AWharde,2062,3,,93.33333333
Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,,1477,2,2,50
Plot  Area,17-Aug,Nagadevanahalli,4 Bedroom,,1050,3,3,56.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Shthi S,1525,2,2,43.33333333
Plot  Area,Immediate Possession,Carmelaram,,Ocezes ,2000,,,80
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,VKe 1 M,1220,2,1,43.33333333
Super built-up  Area,Ready To Move,Alikadam,3 BHK,Kacesh ,2388,3,1,130
Super built-up  Area,18-Apr,Aditmari,2 BHK,Prarkun,1355,2,1,65.06666667
Built-up  Area,Ready To Move,Abhaynagar,2 BHK,,1141,2,1,41.33333333
Super built-up  Area,21-Jun,Boda,2 BHK,Saahaat,1046,2,0,32.70666667
Super built-up  Area,Ready To Move,Araihazar,1 BHK,,630,1,2,23.33333333
Super built-up  Area,Ready To Move,Kulaura,2 BHK,ARvasV ,1247,2,2,41.56666667
Built-up  Area,Ready To Move,Amtali,4 BHK,PueraRi,3855,4,3,146.6666667
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,,850,2,1,21.66666667
Super built-up  Area,Ready To Move,Badalgachi,2 BHK,Sryam N,1120,2,2,24
Plot  Area,Ready To Move,Belabo,8 Bedroom,,800,8,,190
Super built-up  Area,18-Aug,Bandarban Sadar,3 BHK,Ceezey ,1798,3,1,73.33333333
Built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1180,2,1,30
Super built-up  Area,Ready To Move,Harirampur,2 BHK,Jaood G,1000,2,1,22.66666667
Super built-up  Area,19-Mar,Abhaynagar,2 BHK,Prtates,1216,2,1,54.66666667
Built-up  Area,Ready To Move,Dharmapasha,2 Bedroom,,900,2,0,43.33333333
Built-up  Area,Ready To Move,Barishal Sadar,2 Bedroom,,1100,2,0,43.33333333
Super built-up  Area,20-Jan,Khetlal,3 BHK,DNncasa,1842,3,2,76.66666667
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1075,2,1,28.66666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,UKe 2nz,1495,3,3,58.66666667
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,Goelsn ,1700,3,3,80
Super built-up  Area,20-Dec,Abhaynagar,3 BHK,Oreldhi,1564,3,1,68.66666667
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,2 BHK,Sariana,1256,2,1,43.33333333
Super built-up  Area,18-Jun,Bheramara,2 BHK,Dieldli,1047,2,1,59.33333333
Super built-up  Area,18-Apr,Bhanga,3 BHK,Rosha I,1458,3,1,52.3
Super built-up  Area,19-Dec,Bagerhat Sadar,2 BHK,Caycend,1063,2,1,40.78
